codigo_ibge,nome,idBairro
2800506,Alcinópolis,1
3201209,Estrela Velha,2
3201407,Santo Antônio do Içá,3
3541653,Lagoa Seca,4
3201704,Nova Glória,5
2200103,Franciscópolis,6
2200251,São Brás,7
3201506,São João da Ponta,8
1600204,Santa Luzia do Norte,9
3201209,Congonhas,10
3541653,Castanheiras,11
2200277,Porto de Pedras,12
3201506,Macururé,13
3201407,Mulungu,14
3201407,Ibiaí,15
3201506,Portão,16
2200202,Antônio Carlos,17
1600105,Ubaí,18
3541703,Miracema,19
1600204,Maripá,20
1600238,Pitangui,21
3541703,Oscar Bressane,22
3201308,Nilópolis,23
3201605,Acaraú,24
3201704,Paraíso,25
2800407,Porto Estrela,26
3541604,Eldorado do Sul,27
2200301,Lajedão,28
1600204,Iacanga,29
2800605,Passa Quatro,30
2200251,Nazário,31
3201506,Aparecida de Goiânia,32
3541505,Serra Dourada,33
2800308,Ipueiras,34
3541653,Riachão das Neves,35
3541604,Soure,36
2200301,São Félix de Minas,37
1600238,Érico Cardoso,38
2800605,Oriximiná,39
3541505,Sales Oliveira,40
2800407,Teixeirópolis,41
1600238,Bom Jesus,42
3541653,Cacaulândia,43
2200202,São João Batista,44
1600253,Quixadá,45
3201605,Nova Friburgo,46
1600105,Carrancas,47
1600105,Rio Negrinho,48
3201308,São José do Inhacorá,49
1600253,Marechal Deodoro,50
1600212,Pariconha,51
1600204,Cachoeira da Prata,52
2800605,Floresta do Piauí,53
2200202,Nova Colinas,54
2800308,Rincão,55
1600212,Jesúpolis,56
3201506,Novo Horizonte do Sul,57
2800209,Afrânio,58
2800605,Tubarão,59
2800605,Solidão,60
3541802,Altinho,61
2200103,Farol,62
3541703,Belém do Piauí,63
3201308,Bela Vista do Piauí,64
3201506,Colinas do Tocantins,65
2800407,Rialma,66
2800407,Diamante D'Oeste,67
2800605,Porto Ferreira,68
2200053,Embu-Guaçu,69
3201407,Buriti Bravo,70
3201506,Mendes Pimentel,71
2800407,Serra Caiada,72
3201605,Uruará,73
2200053,Cambuci,74
2800209,Grossos,75
2200251,Coronel Pacheco,76
3201308,Ilicínea,77
2200277,Ipaporanga,78
3201506,Salto Veloso,79
