endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
QUADRA 04 CONJUNTO B LOTE 06,71570202,QUADRA 04 CONJUNTO B LOTE 06,QUADRA,83
"RUA CASTRO ALVES, S/N, FORUM ARNALDO DA SILVEIRA",45280000,RUA CASTRO ALVES,RUA,27
"RUA JOSÉ DA ROCHA, 483",61600070,RUA JOSÉ DA ROCHA,RUA,88
"RUA JOSEANE SALES,177A",65715000,RUA JOSEANE SALES,RUA,72
"RUA TENENTE CAMARGO, 2500 - FORUM ELEITORAL",85601610,RUA TENENTE CAMARGO,RUA,84
"RUA GOVERNADOR VALADARES, 229 - CASA - CENTRO",35460000,RUA GOVERNADOR VALADARES,RUA,27
RUA INTERVENTOR ERIVANO CRUZ 75,63010010,RUA INTERVENTOR ERIVANO CRUZ 75,RUA,9
"RUA JOVELINO PEREIRA DOS SANTOS, S/N",48410000,RUA JOVELINO PEREIRA DOS SANTOS,RUA,9
"RUA DONA ANA, 27",36600000,RUA DONA ANA,RUA,17
"RUA 21 DE SETEMBRO, SN - FÓRUM ELEITORAL",86455000,RUA 21 DE SETEMBRO,RUA,98
"PRAÇA JOÃO PESSOA, 25 - TÉRREO",58497000,PRAÇA JOÃO PESSOA,PRAÇA,51
RUA MINISTRO TAVARES DE LIRA 128,22221060,RUA MINISTRO TAVARES DE LIRA 128,RUA,60
"RUA BALTAZAR DA ROCHA BEZERRA, 05",59510000,RUA BALTAZAR DA ROCHA BEZERRA,RUA,44
"PRAÇA PAPA JOÃO XXIII, 135",16800000,PRAÇA PAPA JOÃO XXIII,PRAÇA,66
"RUA VIRGILIO DE ARAÚJO SILVA, SN",58765000,RUA VIRGILIO DE ARAÚJO SILVA,RUA,24
"RUA SÃO FRANCISCO, 219",39100000,RUA SÃO FRANCISCO,RUA,73
"RUA DAS GREVILEAS, 442",78550112,RUA DAS GREVILEAS,RUA,6
"PRAÇA 02, LOTE 06, SETOR CENTRAL - GAMA/DF",72405025,PRAÇA 02,PRAÇA,85
"RUA RESPÍCIO JOSÉ DO NASCIMENTO, 517",59900000,RUA RESPÍCIO JOSÉ DO NASCIMENTO,RUA,69
"RUA DR. COSTA JÚNIOR, 509",5002000,RUA DR. COSTA JÚNIOR,RUA,67
"RUA VIGÁRIO PARREIRAS, 1090",35595000,RUA VIGÁRIO PARREIRAS,RUA,20
RUA DOM PEDRITO 1 - XVIII R.A.,23070170,RUA DOM PEDRITO 1 - XVIII R.A.,RUA,5
"RUA FRANCISCO XAVIER DE ALMEIDA GARRET, 1345 - FORUM ELEITORAL",83601223,RUA FRANCISCO XAVIER DE ALMEIDA GARRET,RUA,55
RUA MARECHAL DEODORO 720,78200000,RUA MARECHAL DEODORO 720,RUA,85
"RUA CALMÉRIO RODRIGUES FERREIRA, 33, LOJA C",26900000,RUA CALMÉRIO RODRIGUES FERREIRA,RUA,96
"RUA GETULIO VARGAS, 109 - CENTRO",59190000,RUA GETULIO VARGAS,RUA,49
"RUA URUGUAI, 1227",98920000,RUA URUGUAI,RUA,64
"RUA SÃO PAULO, 3431",15500010,RUA SÃO PAULO,RUA,34
"RUA JACY PARANA, S/N - ANEXO AO TRE",76805866,RUA JACY PARANA,RUA,9
"RUA ÁTILA VIVÁCQUA VIEIRA, 148",29350000,RUA ÁTILA VIVÁCQUA VIEIRA,RUA,45
"PRAÇA VICTOR KONDER, 60, FÓRUM UNIVERSITÁRIO",89010150,PRAÇA VICTOR KONDER,PRAÇA,85
"RUA QUINTILIANO JOSÉ DA SILVA, 55",35740000,RUA QUINTILIANO JOSÉ DA SILVA,RUA,79
"RUA PADRE CRUZ, ESQUINA COM RUA WALDIR SOEIRO HENRICH, N. 169",35970000,RUA PADRE CRUZ,RUA,11
"RUA CORINTO SILVA, 47, CENTRO",46800000,RUA CORINTO SILVA,RUA,73
"RUA ANTÔNIO CIMINI, 151 A - SANTA ZITA",35300275,RUA ANTÔNIO CIMINI,RUA,46
"RUA MÁRIO DE BRITO, 129 - LOJA 3 - PIABETÁ",25915000,RUA MÁRIO DE BRITO,RUA,91
"RUA JUSCELINO KUBTSCHEK DE OLIVEIRA, 1206 - FORUM ELEITORAL",85807440,RUA JUSCELINO KUBTSCHEK DE OLIVEIRA,RUA,60
"RUA DOS EXPEDICIONARIOS, 753 - FORUM ELEITORAL",86300000,RUA DOS EXPEDICIONARIOS,RUA,71
"RUA CEL. JOSE DANTAS, S/N",63200000,RUA CEL. JOSE DANTAS,RUA,15
RUA VEREADOR PEDRO DOCA FILHO S/N,55180000,RUA VEREADOR PEDRO DOCA FILHO S/N,RUA,97
"RUA WALDEMAR MANSUETO GRAZZIOTIN, 165 - SALA TÉRREA",95250000,RUA WALDEMAR MANSUETO GRAZZIOTIN,RUA,20
"RUA GOVERNADOR VALADARES, 730 / 02",36120000,RUA GOVERNADOR VALADARES,RUA,30
"PRAÇA DA BANDEIRA, 245",49270000,PRAÇA DA BANDEIRA,PRAÇA,81
"PRAÇA PEDRO PEREIRA, S/N - FÓRUM DR FILEMOM LINS DE QUEIROZ",47240000,PRAÇA PEDRO PEREIRA,PRAÇA,64
"RUA IPIRANGA, N. 841",79700000,RUA IPIRANGA,RUA,57
"RUA SAINT HILAIRE, 187 - FORUM ELEITORAL",84035350,RUA SAINT HILAIRE,RUA,36
"RUA TEODÓZIO LEANDRO HORAS, S/N",56220000,RUA TEODÓZIO LEANDRO HORAS,RUA,64
"RUA ASPÁZIA DIAS VAREJÃO, 222, LT 28, QD G",29130013,RUA ASPÁZIA DIAS VAREJÃO,RUA,52
"PRAÇA JOÃO PESSOA, S/N (FÓRUM)",58660000,PRAÇA JOÃO PESSOA,PRAÇA,17
"RUA TERESINA, 333",15800300,RUA TERESINA,RUA,89
"TV ERNESTO CARMELLI, 55, SALA 1",89820000,TV ERNESTO CARMELLI,TRAVESSA,17
"PRAÇA AGAMENON MAGALHÃES, S/N",55315000,PRAÇA AGAMENON MAGALHÃES,PRAÇA,77
RUA SAO FRANCISCO S/N,69680000,RUA SAO FRANCISCO S/N,RUA,53
"RUA DAS FORMIGAS, 375 (ESQUINA COM RUA DOS BANDEIRANTES)",13280000,RUA DAS FORMIGAS,RUA,32
"RUA CORONEL BRAULIO DE OLIVEIRA, 923",98870000,RUA CORONEL BRAULIO DE OLIVEIRA,RUA,59
"RUA DR. FRANCISCO PORTELA, 2775",24435001,RUA DR. FRANCISCO PORTELA,RUA,11
"RUA INGRID EGGERTT, 214",78330000,RUA INGRID EGGERTT,RUA,89
"RUA CEL. BERNARDINO DE MELLO 2585, CENTRO - NOVA IGUAÇU / RJ",26255140,RUA CEL. BERNARDINO DE MELLO 2585,RUA,19
"RUA JOSÉ BORELLI, 10 - FÓRUM",14740000,RUA JOSÉ BORELLI,RUA,33
RUA FRANCISCA DE ARAGAO PAIVA S/N,64330000,RUA FRANCISCA DE ARAGAO PAIVA S/N,RUA,55
"RUA JOSÉ SPONCHIADO, 71",99830000,RUA JOSÉ SPONCHIADO,RUA,57
"RUA DOS ARCANJOS, S/N",65850000,RUA DOS ARCANJOS,RUA,76
"RUA OSCAR TEIXEIRA DE SIQUEIRA, 270, FÓRUM PEDRO FONTES",45930000,RUA OSCAR TEIXEIRA DE SIQUEIRA,RUA,54
"ROD. AFONSO CELSO, S/N - PRACA DOS TRES PODERES - FORUM",28230000,ROD. AFONSO CELSO,RODOVIA,9
"RUA BERNARDO LOCKS, N. 148, 2 ANDAR, SALA 208, CENTRO",88750000,RUA BERNARDO LOCKS,RUA,88
RUA ANTONIO SOUSA GOMES,77960000,RUA ANTONIO SOUSA GOMES,RUA,35
RUA VISCONDE DE SEPETIBA 987 - 3 ANDAR - FUNDOS,24020206,RUA VISCONDE DE SEPETIBA 987 - 3 ANDAR - FUNDOS,RUA,10
"TRAVESSA BOA VISTA, S/N, PRÓX A UM PÉ DE CASTANHA- DO- PARÁ, CENTRO",65970000,TRAVESSA BOA VISTA,TRAVESSA,83
RUA 10 ESQ. C/ RUA 11-A S/N CONJ. UIRAPURU ED. FORUM,75250000,RUA 10 ESQ. C/ RUA 11-A S/N CONJ. UIRAPURU ED. FORUM,RUA,74
"RODOVIA PR 340, S/N, FÓRUM ELEITORAL, AO LADO DA ESCOLA AROLDO",84300000,RODOVIA PR 340,RODOVIA,70
